all,life,child,health,event,senior,handicap,town,job,other,gov,bid,biz
指定なし,暮らし,子育て,健康,イベント・観光関係,高齢者の方へ,障がいのある方へ,まちづくり、環境・緑化,しごと情報（雇用・労働）,大阪市民の方へ,行政情報,入札情報,事業者向け
iconOsaka.svg,life.png,child.png,health.png,event.png,senior.png,handicap.png,town.png,job.png,other.png,gov.png,bid.png,biz.png
